gkz;name;plz;bundesland
10101;Eisenstadt;7000;Burgenland
10201;Rust;7071;Burgenland
10301;Breitenbrunn am Neusiedler See;7091;Burgenland
10302;Donnerskirchen;7082;Burgenland
10303;Großhöflein;7051;Burgenland
10304;Hornstein;7053;Burgenland
10305;Klingenbach;7013;Burgenland
10306;Leithaprodersdorf;2443;Burgenland
10307;Mörbisch am See;7072;Burgenland
10308;Müllendorf;7052;Burgenland
10309;Neufeld an der Leitha;2491;Burgenland
10310;Oggau am Neusiedler See;7063;Burgenland
10311;Oslip;7064;Burgenland
10312;Purbach am Neusiedler See;7083;Burgenland
10313;Sankt Margarethen im Burgenland;7062;Burgenland
10314;Schützen am Gebirge;7081;Burgenland
10315;Siegendorf;7011;Burgenland
10316;Steinbrunn;7035;Burgenland
10317;Trausdorf an der Wulka;7061;Burgenland
10318;Wimpassing an der Leitha;2485;Burgenland
10319;Wulkaprodersdorf;7041;Burgenland
10320;Loretto;2443;Burgenland
10321;Stotzing;2443;Burgenland
10322;Zillingtal;7034;Burgenland
10323;Zagersdorf;7012;Burgenland
10401;Bocksdorf;7553;Burgenland
10402;Burgauberg-Neudauberg;7574;Burgenland
10403;Eberau;7521;Burgenland
10404;Gerersdorf-Sulz;7542;Burgenland
10405;Güssing;7540;Burgenland
10406;Güttenbach;7536;Burgenland
10407;Heiligenbrunn;7522;Burgenland
10408;Kukmirn;7543;Burgenland
10409;Neuberg im Burgenland;7537;Burgenland
10410;Neustift bei Güssing;7545;Burgenland
10411;Olbendorf;7534;Burgenland
10412;Ollersdorf im Burgenland;7533;Burgenland
10413;Sankt Michael im Burgenland;7535;Burgenland
10414;Stegersbach;7551;Burgenland
10415;Stinatz;7552;Burgenland
10416;Strem;7522;Burgenland
10417;Tobaj;7544;Burgenland
10418;Hackerberg;8292;Burgenland
10419;Wörterberg;7550;Burgenland
10420;Großmürbisch;7540;Burgenland
10421;Inzenhof;7540;Burgenland
10422;Kleinmürbisch;7540;Burgenland
10423;Tschanigraben;7540;Burgenland
10424;Heugraben;7551;Burgenland
10425;Rohr im Burgenland;7554;Burgenland
10426;Bildein;7521;Burgenland
10427;Rauchwart;7535;Burgenland
10428;Moschendorf;7546;Burgenland
10501;Deutsch Kaltenbrunn;7572;Burgenland
10502;Eltendorf;7562;Burgenland
10503;Heiligenkreuz im Lafnitztal;7561;Burgenland
10504;Jennersdorf;8380;Burgenland
10505;Minihof-Liebau;8384;Burgenland
10506;Mogersdorf;8382;Burgenland
10507;Neuhaus am Klausenbach;8385;Burgenland
10508;Rudersdorf;7571;Burgenland
10509;Sankt Martin an der Raab;8383;Burgenland
10510;Weichselbaum;8382;Burgenland
10511;Königsdorf;7563;Burgenland
10512;Mühlgraben;8385;Burgenland
10601;Draßburg;7021;Burgenland
10602;Forchtenstein;7212;Burgenland
10603;Hirm;7024;Burgenland
10604;Loipersbach im Burgenland;7020;Burgenland
10605;Marz;7221;Burgenland
10606;Mattersburg;7210;Burgenland
10607;Neudörfl;7201;Burgenland
10608;Pöttelsdorf;7025;Burgenland
10609;Pöttsching;7033;Burgenland
10610;Rohrbach bei Mattersburg;7222;Burgenland
10611;Bad Sauerbrunn;7202;Burgenland
10612;Schattendorf;7022;Burgenland
10613;Sieggraben;7223;Burgenland
10614;Sigleß;7032;Burgenland
10615;Wiesen;7203;Burgenland
10616;Antau;7042;Burgenland
10617;Baumgarten;7021;Burgenland
10618;Zemendorf-Stöttera;7023;Burgenland
10619;Krensdorf;7031;Burgenland
10701;Andau;7163;Burgenland
10702;Apetlon;7143;Burgenland
10703;Bruckneudorf;2460;Burgenland
10704;Deutsch Jahrndorf;2423;Burgenland
10705;Frauenkirchen;7132;Burgenland
10706;Gattendorf;2474;Burgenland
10707;Gols;7122;Burgenland
10708;Halbturn;7131;Burgenland
10709;Illmitz;7142;Burgenland
10710;Jois;7093;Burgenland
10711;Kittsee;2421;Burgenland
10712;Mönchhof;7123;Burgenland
10713;Neusiedl am See;7100;Burgenland
10714;Nickelsdorf;2425;Burgenland
10715;Pama;2422;Burgenland
10716;Pamhagen;7152;Burgenland
10717;Parndorf;7111;Burgenland
10718;Podersdorf am See;7141;Burgenland
10719;Sankt Andrä am Zicksee;7161;Burgenland
10720;Tadten;7162;Burgenland
10721;Wallern im Burgenland;7151;Burgenland
10722;Weiden am See;7121;Burgenland
10723;Winden am See;7092;Burgenland
10724;Zurndorf;2424;Burgenland
10725;Neudorf;2475;Burgenland
10726;Potzneusiedl;2473;Burgenland
10727;Edelstal;2413;Burgenland
10801;Deutschkreutz;7301;Burgenland
10802;Draßmarkt;7372;Burgenland
10803;Frankenau-Unterpullendorf;7361;Burgenland
10804;Großwarasdorf;7304;Burgenland
10805;Horitschon;7312;Burgenland
10806;Kaisersdorf;7342;Burgenland
10807;Kobersdorf;7332;Burgenland
10808;Lackenbach;7322;Burgenland
10809;Lockenhaus;7442;Burgenland
10810;Lutzmannsburg;7361;Burgenland
10811;Mannersdorf an der Rabnitz;7444;Burgenland
10812;Markt Sankt Martin;7341;Burgenland
10813;Neckenmarkt;7311;Burgenland
10814;Neutal;7343;Burgenland
10815;Nikitsch;7302;Burgenland
10816;Oberpullendorf;7350;Burgenland
10817;Pilgersdorf;7441;Burgenland
10818;Piringsdorf;7373;Burgenland
10819;Raiding;7321;Burgenland
10820;Ritzing;7323;Burgenland
10821;Steinberg-Dörfl;7453;Burgenland
10822;Stoob;7344;Burgenland
10823;Weppersdorf;7331;Burgenland
10824;Lackendorf;7321;Burgenland
10825;Unterfrauenhaid;7321;Burgenland
10826;Unterrabnitz-Schwendgraben;7371;Burgenland
10827;Weingraben;7374;Burgenland
10828;Oberloisdorf;7451;Burgenland
